model,family,config,dataset,machine,est_minutes,source,checkpoint_mtime_utc,caveat
baseline.pth,Baseline,,CARLA,WS-PBWS1004508,,none,2026-07-08T18:58:25.747165+00:00,"first checkpoint in the sweep — no preceding mtime to difference against, so no estimate is available; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma0.01.pth,Input,σ=0.01,CARLA,WS-PBWS1004508,5.82,mtime-delta,2026-07-08T19:04:14.872564+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma0.05.pth,Input,σ=0.05,CARLA,WS-PBWS1004508,21.31,mtime-delta,2026-07-08T19:25:33.390498+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma0.1.pth,Input,σ=0.1,CARLA,WS-PBWS1004508,27.47,mtime-delta,2026-07-08T19:53:01.518738+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigma0.3.pth,Input,σ=0.3,CARLA,WS-PBWS1004508,26.17,mtime-delta,2026-07-08T20:19:11.592046+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
input_sigmaper-feature.pth,Input,σ=per-feature,CARLA,WS-PBWS1004508,3.24,mtime-delta,2026-07-08T20:22:25.854798+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip0.5_nm1.0.pth,DP-SGD,"clip=0.5, nm=1.0",CARLA,WS-PBWS1004508,118.37,mtime-delta,2026-07-08T22:20:47.995566+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip0.5_nm2.0.pth,DP-SGD,"clip=0.5, nm=2.0",CARLA,WS-PBWS1004508,379.06,mtime-delta,2026-07-09T04:39:51.572151+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip1.0_nm1.0.pth,DP-SGD,"clip=1.0, nm=1.0",CARLA,WS-PBWS1004508,376.36,mtime-delta,2026-07-09T10:56:13.300981+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
dpsgd_clip1.0_nm2.0.pth,DP-SGD,"clip=1.0, nm=2.0",CARLA,WS-PBWS1004508,378.84,mtime-delta,2026-07-09T17:15:03.845997+00:00,"UPPER BOUND — gap to the previous checkpoint also contains the evaluation run between the two trainings (bootstrap CIs) and is measured best-epoch to best-epoch, not train start to train end; run logs carry no wall-clock timestamps, so no log-based cross-check was possible"
